C�digo;Art�culo;Descripci�n;Descripci�n
50-2030!MAIZ!95;50-2030;MAIZ;95
04-1740!ESMERALDA!95;04-1740;ESMERALDA;95
04-1740!ESMERALDA!100;04-1740;ESMERALDA;100
18-401!GRIS!1;18-401;GRIS;1
18-401!GRIS!2;18-401;GRIS;2
18-401!GRIS!3;18-401;GRIS;3
29-4110!AZUL NOCHE/SALMON!85;29-4110;AZUL NOCHE/SALMON;85
29-4700!CELESTE!100;29-4700;CELESTE;100
29-4730!AZUL ZAFIRO!90;29-4730;AZUL ZAFIRO;90
20-2128!MARRON!L;20-2128;MARRON;L
20-2128!MARRON!M;20-2128;MARRON;M
20-2128!MARRON!S;20-2128;MARRON;S
20-2128!MARRON!XL;20-2128;MARRON;XL
20-2128!MARRON!XXL;20-2128;MARRON;XXL
29-6040!FRAMBUEZA/AZUL!85;29-6040;FRAMBUEZA/AZUL;85
15-5370!MARRON!85;15-5370;MARRON;85
15-5370!MARRON!90;15-5370;MARRON;90
15-5370!MARRON!95;15-5370;MARRON;95
15-5370!MARRON!100;15-5370;MARRON;100
34-1!NEGRO!XL;34-1;NEGRO;XL
34-1!VERDE!XL;34-1;VERDE;XL
34-1!FRANCIA!XL;34-1;FRANCIA;XL
34-1!FLAMINGO!XL;34-1;FLAMINGO;XL
34-1!FLUO!XL;34-1;FLUO;XL
34-1!NEGRO!L;34-1;NEGRO;L
34-1!VERDE!L;34-1;VERDE;L
34-1!FRANCIA!L;34-1;FRANCIA;L
34-1!FLUO!L;34-1;FLUO;L
34-1!NEGRO!M;34-1;NEGRO;M
34-1!VERDE!M;34-1;VERDE;M
34-1!FRANCIA!M;34-1;FRANCIA;M
34-1!FLUO!M;34-1;FLUO;M
34-1!NEGRO!S;34-1;NEGRO;S
34-1!FRANCIA!S;34-1;FRANCIA;S
34-1!FLUO!S;34-1;FLUO;S
34-6!BLANCO!XL;34-6;BLANCO;XL
34-6!NEGRO!XL;34-6;NEGRO;XL
34-6!BLANCO!L;34-6;BLANCO;L
34-6!NEGRO!L;34-6;NEGRO;L
34-6!BLANCO!M;34-6;BLANCO;M
34-6!NEGRO!M;34-6;NEGRO;M
34-6!BLANCO!S;34-6;BLANCO;S
34-6!NEGRO!S;34-6;NEGRO;S
34-8!PINK!XL;34-8;PINK;XL
34-8!LIMA!XL;34-8;LIMA;XL
34-8!NEGRO!L;34-8;NEGRO;L
34-8!PINK!L;34-8;PINK;L
34-8!BLUE!L;34-8;BLUE;L
34-8!LIMA!L;34-8;LIMA;L
34-8!NEGRO!M;34-8;NEGRO;M
34-8!PINK!M;34-8;PINK;M
34-8!BLUE!M;34-8;BLUE;M
34-8!PINK!S;34-8;PINK;S
34-8!BLUE!S;34-8;BLUE;S
34-8!LIMA!S;34-8;LIMA;S
34-9!NEGRO!XL;34-9;NEGRO;XL
34-9!Africa!XL;34-9;Africa;XL
34-9!MALVA!XL;34-9;MALVA;XL
34-9!NEGRO!L;34-9;NEGRO;L
34-9!Africa!L;34-9;Africa;L
34-9!MALVA!L;34-9;MALVA;L
34-9!NEGRO!M;34-9;NEGRO;M
34-9!Africa!M;34-9;Africa;M
34-9!MALVA!M;34-9;MALVA;M
34-9!NEGRO!S;34-9;NEGRO;S
34-9!MALVA!S;34-9;MALVA;S
34-5!MELANGE!XL;34-5;MELANGE;XL
34-5!MARINO!XL;34-5;MARINO;XL
34-5!TOPO!XL;34-5;TOPO;XL
34-5!MELANGE!L;34-5;MELANGE;L
34-5!MARINO!L;34-5;MARINO;L
34-5!TOPO!L;34-5;TOPO;L
34-5!MARINO!M;34-5;MARINO;M
34-5!TOPO!M;34-5;TOPO;M
34-5!MARINO!S;34-5;MARINO;S
34-9!CORAL!XL;34-9;CORAL;XL
34-9!MORA!XL;34-9;MORA;XL
34-9!BLACK!XL;34-9;BLACK;XL
34-9!WATER!XL;34-9;WATER;XL
34-9!GOLD!XL;34-9;GOLD;XL
34-9!CORAL!L;34-9;CORAL;L
34-9!MORA!L;34-9;MORA;L
34-9!BLACK!L;34-9;BLACK;L
34-9!WATER!L;34-9;WATER;L
34-9!GOLD!L;34-9;GOLD;L
34-9!CORAL!M;34-9;CORAL;M
34-9!MORA!M;34-9;MORA;M
34-9!BLACK!M;34-9;BLACK;M
34-9!WATER!M;34-9;WATER;M
34-9!GOLD!M;34-9;GOLD;M
34-9!CORAL!S;34-9;CORAL;S
34-9!MORA!S;34-9;MORA;S
34-9!BLACK!S;34-9;BLACK;S
34-9!WATER!S;34-9;WATER;S
34-9!GOLD!S;34-9;GOLD;S
34-5!NEGRO!XL;34-5;NEGRO;XL
34-5!NEGRO!L;34-5;NEGRO;L
34-5!NEGRO!M;34-5;NEGRO;M
34-5!MELANGE!M;34-5;MELANGE;M
34-5!NEGRO!S;34-5;NEGRO;S
34-5!MELANGE!S;34-5;MELANGE;S
38-10!NEGRO!L;38-10;NEGRO;L
29-S23!SURTIDO!UNICO;29-S23;SURTIDO;UNICO
38-10!NEGRO!S;38-10;NEGRO;S
38-10!NEGRO!M;38-10;NEGRO;M
38-10!NEGRO!XL;38-10;NEGRO;XL
38-10!NEGRO!XXL;38-10;NEGRO;XXL
38-10!MARINO!S;38-10;MARINO;S
38-10!MARINO!M;38-10;MARINO;M
38-10!MARINO!L;38-10;MARINO;L
38-10!MARINO!XL;38-10;MARINO;XL
38-10!MARINO!XXL;38-10;MARINO;XXL
38-10!GRIS MELANGE!S;38-10;GRIS MELANGE;S
38-10!GRIS MELANGE!M;38-10;GRIS MELANGE;M
38-10!GRIS MELANGE!L;38-10;GRIS MELANGE;L
38-10!GRIS MELANGE!XL;38-10;GRIS MELANGE;XL
38-10!GRIS MELANGE!XXL;38-10;GRIS MELANGE;XXL
18-1008!BLANCO!1;18-1008;BLANCO;1
